Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
"1 Day,GS",1,21,18,4,5,1,0,0,0,0,2,0,0.0,0.278,0.333,0.333,0.667,6,1,0,0,1,0,0,0.263,65,112
"3 Days,GS",1,17,14,6,6,1,1,0,0,0,0,5,,0.429,0.471,0.643,1.114,9,0,2,0,1,0,0,0.6,170,208
"4 Days,GS",51,1154,1034,174,305,61,4,50,24,11,93,188,2.02,0.295,0.358,0.507,0.865,524,22,13,5,8,0,9,0.317,110,139
"5 Days,GS",69,1575,1427,213,398,74,12,56,37,12,128,264,2.06,0.279,0.341,0.465,0.807,664,31,11,2,7,0,4,0.307,96,125
"6+ Days,GS",40,872,789,143,231,38,8,35,19,6,67,134,2.0,0.293,0.354,0.494,0.848,390,25,10,2,4,0,3,0.314,106,130
"0 Days,GR",75,319,276,50,80,14,2,11,9,0,37,63,1.7,0.29,0.376,0.475,0.851,131,9,3,0,3,0,2,0.337,108,147
"1 Day,GR",134,663,579,111,164,27,5,26,13,1,71,129,1.82,0.283,0.361,0.482,0.843,279,14,3,3,7,3,3,0.32,105,146
"2 Days,GR",110,642,564,83,156,26,3,19,20,4,66,126,1.91,0.277,0.357,0.434,0.792,245,15,6,4,2,3,2,0.325,94,125
"3 Days,GR",56,286,246,30,62,9,1,4,9,4,23,67,2.91,0.252,0.333,0.346,0.679,85,9,10,1,6,2,1,0.32,68,101
"4 Days,GR",44,288,239,50,70,8,0,11,7,0,37,45,1.22,0.293,0.39,0.464,0.855,111,5,5,0,6,3,0,0.312,109,144
"5 Days,GR",21,134,123,18,39,8,1,0,0,1,7,30,4.29,0.317,0.353,0.398,0.752,49,4,1,1,2,1,1,0.411,85,108
"6+ Days,GR",55,351,314,47,88,23,1,9,3,1,32,67,2.09,0.28,0.348,0.446,0.794,140,10,2,0,3,0,0,0.328,94,118
