Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
"1st PA in G, as SP",162,1450,1294,195,377,71,9,59,3,5,122,240,1.97,0.291,0.358,0.497,0.855,643,31,18,4,11,0,3,0.316,107,145
"2nd PA in G, as SP",160,1391,1266,199,362,68,10,54,4,8,106,232,2.19,0.286,0.345,0.483,0.828,612,25,10,4,5,0,4,0.313,101,127
"3rd PA in G, as SP",143,777,702,103,201,35,6,27,0,3,61,115,1.89,0.286,0.348,0.469,0.817,329,23,8,1,5,0,8,0.308,99,115
"4th+ PA in G, as SP",7,8,7,1,2,1,0,0,0,0,1,2,2.0,0.286,0.375,0.429,0.804,3,0,0,0,0,0,0,0.4,98,129
"1st PA in G, as RP",162,2547,2216,389,624,107,10,75,6,5,265,507,1.91,0.282,0.362,0.44,0.802,976,65,29,9,28,11,9,0.33,96,131
"2nd PA in G, as RP",37,131,120,27,33,7,3,5,0,0,8,20,2.5,0.275,0.323,0.508,0.831,61,1,1,0,1,1,0,0.292,100,114
"3rd+ PA in G, as RP",1,1,1,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100
