Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
"vs RHB, from gl",,3545,3195,,926,166,17,135,,,275,651,2.37,0.29,0.354,0.479,0.833,1531,81,40,,,1,,0.328,102,136
"vs LHB, from gl",,2158,1885,,527,98,20,67,,,226,366,1.62,0.28,0.362,0.459,0.822,866,47,18,,,10,,0.317,100,126
"vs BHB, from gl",,619,543,,151,26,1,19,,,62,101,1.63,0.278,0.361,0.435,0.795,236,17,8,,,1,,0.312,95,123
