Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
as Starter,27,73,0.27,5.54,162,162,0,0,0,0,825.2,945,540,508,141,290,0,591,36,2,20,3639,1.496,6.4,2.04
as Reliever,34,28,0.548,5.41,495,0,162,0,0,37,601.0,659,389,361,80,273,12,527,30,2,39,2683,1.551,7.9,1.93
