Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Ground Balls,162,1948,1948,184,489,40,1,0,0,0,0,0,,0.251,0.251,0.273,0.524,531,145,0,0,0,0,21,0.251,29,104
Fly Balls,162,1414,1381,397,334,58,19,199,0,0,0,0,,0.242,0.236,0.744,0.98,1027,0,0,0,33,0,3,0.111,126,137
Line Drives,162,1169,1152,322,766,192,18,22,0,0,0,0,,0.665,0.655,0.92,1.575,1060,0,0,0,17,0,1,0.649,282,109
Bunts,38,42,24,2,15,0,0,0,0,0,0,0,,0.625,0.625,0.625,1.25,15,0,0,18,0,0,0,0.625,210,149
