Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
"1 Day,GS",0,1,0.0,7.2,1,1,0,0,0,0,5.0,5,4,4,0,2,0,0,0,0,0,21,1.4,0.0,0.0
"3 Days,GS",0,1,0.0,18.0,1,1,0,0,0,0,3.0,6,6,6,0,0,0,5,2,0,1,17,2.0,15.0,
"4 Days,GS",15,19,0.441,5.58,51,51,0,0,0,0,258.0,305,174,160,50,93,0,188,13,1,8,1154,1.543,6.6,2.02
"5 Days,GS",9,33,0.214,5.09,69,69,0,0,0,0,360.2,398,213,204,56,128,0,264,11,1,7,1575,1.458,6.6,2.06
"6+ Days,GS",3,19,0.136,6.06,40,40,0,0,0,0,199.0,231,143,134,35,67,0,134,10,0,4,872,1.498,6.1,2.0
"0 Days,GR",9,9,0.5,5.81,75,0,25,0,0,11,69.2,80,50,45,11,37,0,63,3,0,5,319,1.679,8.1,1.7
"1 Day,GR",9,11,0.45,6.36,134,0,41,0,0,15,145.2,164,111,103,26,71,3,129,3,1,7,663,1.613,8.0,1.82
"2 Days,GR",4,4,0.5,4.64,110,0,33,0,0,2,145.1,156,83,75,19,66,3,126,6,1,12,642,1.528,7.8,1.91
"3 Days,GR",6,1,0.857,3.67,56,0,20,0,0,4,68.2,62,30,28,4,23,2,67,10,0,4,286,1.238,8.8,2.91
"4 Days,GR",1,3,0.25,7.2,44,0,13,0,0,3,60.0,70,50,48,11,37,3,45,5,0,4,288,1.783,6.8,1.22
"5 Days,GR",0,0,,4.6,21,0,7,0,0,1,31.1,39,18,16,0,7,1,30,1,0,1,134,1.468,8.6,4.29
"6+ Days,GR",5,0,1.0,5.15,55,0,23,0,0,1,80.1,88,47,46,9,32,0,67,2,0,6,351,1.494,7.5,2.09
