Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
as RHP@LAA-Angel Stad,3,92,81,14,23,5,0,3,4,0,6,18,3.00,.284,.356,.457,.812,37,0,3,2,0,0,0,.333,98,133
as LHP@LAA-Angel Stad,1,25,25,1,6,0,0,1,0,1,0,6,,.240,.240,.360,.600,9,1,0,0,0,0,0,.278,45,56
as RHP@ARI-Chase Field,7,196,165,38,49,10,1,5,6,2,23,29,1.26,.297,.397,.461,.858,76,8,5,1,1,0,1,.333,111,129
as LHP@ARI-Chase Field,3,74,67,14,22,5,0,3,1,0,7,11,1.57,.328,.392,.537,.929,36,2,0,0,0,0,0,.359,126,121
as RHP@ATL-Truist Pk,3,52,37,6,7,3,0,1,4,1,12,7,0.58,.189,.404,.351,.755,13,1,2,0,1,0,0,.200,89,118
as LHP@ATL-Truist Pk,3,53,52,3,12,2,0,0,0,1,1,13,13.00,.231,.245,.269,.515,14,1,0,0,0,0,0,.308,27,55
as RHP@CHC-Wrigley Fld,3,95,79,19,23,1,0,2,1,0,14,13,0.93,.291,.390,.380,.769,30,1,0,0,2,0,0,.318,91,134
as LHP@CHC-Wrigley Fld,2,27,23,7,10,1,1,3,1,0,3,4,1.33,.435,.519,.957,1.475,22,0,1,0,0,0,0,.438,251,360
as RHP@CHW-Guaranteed,3,87,75,16,18,4,0,4,0,1,9,21,2.33,.240,.333,.453,.787,34,4,2,0,1,2,0,.275,91,125
as LHP@CHW-Guaranteed,2,40,35,4,12,1,0,1,0,0,3,4,1.33,.343,.395,.457,.852,16,2,0,2,0,0,0,.367,109,158
as RHP@CIN-GreatAmer BP,4,93,82,23,28,9,1,7,3,1,9,20,2.22,.342,.409,.732,1.140,60,2,1,0,1,0,0,.375,172,197
as LHP@CIN-GreatAmer BP,2,62,58,8,19,5,0,3,2,0,2,14,7.00,.328,.355,.569,.924,33,1,1,0,1,0,0,.381,122,154
as RHP@COL-Coors Fld,79,2225,1968,326,580,93,18,69,57,20,212,424,2.00,.295,.366,.465,.832,916,58,21,5,19,3,10,.342,103,108
as LHP@COL-Coors Fld,57,946,872,126,248,52,6,36,13,2,58,132,2.28,.284,.332,.482,.813,420,21,7,2,7,0,7,.298,97,104
as RHP@DET-Comerica Pk,3,106,93,20,27,4,2,3,0,0,11,24,2.18,.290,.359,.473,.832,44,3,0,0,2,0,0,.353,102,142
as LHP@DET-Comerica Pk,2,6,4,0,1,0,0,0,0,0,1,3,3.00,.250,.400,.250,.650,1,0,0,1,0,0,0,1.000,66,117
as RHP@HOU-MinuteMaidPk,2,42,36,5,7,1,0,0,3,1,3,3,1.00,.194,.286,.222,.508,8,1,2,0,1,0,1,.206,28,42
as LHP@HOU-MinuteMaidPk,2,31,31,7,12,3,0,0,2,0,0,6,,.387,.387,.484,.871,15,0,0,0,0,0,0,.480,113,156
as RHP@LAD-Dodger Stad,6,167,142,16,37,3,1,5,7,1,22,25,1.14,.261,.355,.401,.757,57,7,0,0,2,2,1,.281,86,114
as LHP@LAD-Dodger Stad,6,57,50,8,14,1,0,5,1,0,5,8,1.60,.280,.368,.600,.968,30,0,2,0,0,1,0,.243,132,151
as RHP@MIA-loanDepot pk,3,94,80,13,19,3,0,1,2,1,9,11,1.22,.238,.330,.313,.642,25,1,3,0,2,0,0,.257,60,75
as LHP@MIA-loanDepot pk,2,23,21,3,6,1,0,0,0,0,2,3,1.50,.286,.348,.333,.681,7,1,0,0,0,1,0,.333,70,90
as RHP@MIL-Am Fam Field,3,58,52,3,8,2,0,0,6,1,6,12,2.00,.154,.241,.192,.434,10,1,0,0,0,0,0,.200,9,28
as LHP@MIL-Am Fam Field,2,40,40,5,9,0,0,3,1,0,0,6,,.225,.225,.450,.675,18,1,0,0,0,0,1,.194,60,94
as RHP@MIN-Target Field,3,87,78,15,24,7,0,4,1,0,5,12,2.40,.308,.356,.551,.908,43,3,2,0,2,0,0,.313,118,146
Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
as LHP@MIN-Target Field,2,29,27,11,15,4,0,1,1,1,1,2,2.00,.556,.552,.815,1.367,22,0,0,0,1,0,0,.560,230,247
as LHP@NYM-Citi Field,2,8,7,4,4,1,0,1,0,0,1,2,2.00,.571,.625,1.143,1.768,8,0,0,0,0,0,0,.750,321,387
as RHP@NYM-Citi Field,3,113,95,15,23,4,0,6,3,1,16,30,1.88,.242,.363,.474,.837,45,0,2,0,0,0,0,.288,104,141
as LHP@NYY-Yankee Stad3,3,63,57,10,14,1,0,4,0,0,5,9,1.80,.246,.318,.474,.791,27,2,1,0,0,0,1,.227,91,129
as RHP@NYY-Yankee Stad3,3,43,38,5,8,1,0,4,0,0,4,11,2.75,.211,.302,.553,.855,21,1,1,0,0,0,0,.174,104,121
as RHP@OAK-Oakland Col.,3,93,82,15,22,5,1,5,4,0,11,23,2.09,.268,.355,.537,.891,44,3,0,0,0,1,0,.315,115,160
as LHP@OAK-Oakland Col.,2,38,37,3,9,1,0,2,0,0,1,8,8.00,.243,.263,.432,.696,16,1,0,0,0,0,0,.259,67,87
as RHP@PHI-CitizensBank,3,82,76,11,19,4,0,4,3,1,5,18,3.60,.250,.296,.461,.757,35,0,0,1,0,0,0,.278,82,103
as LHP@PHI-CitizensBank,2,24,23,3,6,2,0,1,0,1,1,5,5.00,.261,.292,.478,.770,11,0,0,0,0,0,0,.294,85,122
as RHP@PIT-PNC Pk,3,76,70,6,14,2,1,1,0,0,5,20,4.00,.200,.263,.300,.563,21,1,1,0,0,1,0,.265,38,62
as LHP@PIT-PNC Pk,2,26,24,2,5,1,0,1,0,0,2,5,2.50,.208,.269,.375,.644,9,0,0,0,0,0,0,.222,56,69
as RHP@SDP-Petco Pk,6,164,138,20,34,6,0,6,3,0,22,24,1.09,.246,.352,.420,.772,58,6,1,2,1,0,0,.257,89,114
as LHP@SDP-Petco Pk,3,53,47,2,7,2,0,2,1,0,6,11,1.83,.149,.245,.319,.564,15,1,0,0,0,0,0,.147,37,64
as RHP@SFG-Oracle Park,7,206,180,35,58,16,2,5,2,0,20,33,1.65,.322,.400,.517,.917,93,6,4,1,1,1,2,.371,124,168
as LHP@SFG-Oracle Park,4,73,66,18,27,6,3,5,1,0,5,19,3.80,.409,.438,.818,1.257,54,0,0,0,2,0,0,.500,199,248
as LHP@STL-Busch Stad 3,4,56,50,8,14,2,0,1,0,0,2,11,5.50,.280,.309,.380,.689,19,0,1,1,2,0,0,.325,69,98
as RHP@STL-Busch Stad 3,4,94,85,12,21,2,0,1,0,1,9,18,2.00,.247,.319,.306,.625,26,0,0,0,0,0,1,.303,56,82
as RHP@TOR-Rogers Ctr,3,84,78,10,25,3,0,3,1,0,6,15,2.50,.321,.369,.474,.843,37,2,0,0,0,0,0,.367,106,134
as LHP@TOR-Rogers Ctr,1,26,24,4,7,1,0,0,1,1,2,3,1.50,.292,.346,.333,.680,8,0,0,0,0,0,0,.333,69,99
as RHP@WSN-Natls Park,3,79,72,11,21,4,0,2,5,1,7,11,1.57,.292,.354,.431,.785,31,0,0,0,0,0,0,.322,92,122
as LHP@WSN-Natls Park,2,31,28,4,7,3,0,1,0,0,2,5,2.50,.250,.323,.464,.787,13,0,1,0,0,0,0,.273,90,129
as RHP@Alfredo Harp Stad,2,50,41,14,15,3,1,3,0,0,7,3,0.43,.366,.480,.707,1.187,29,0,2,0,0,0,0,.343,187,171
as LHP@Alfredo Harp Stad,2,33,32,6,8,0,0,3,1,0,0,3,,.250,.242,.531,.774,17,2,0,0,1,0,0,.185,82,112
