Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
High Lvrge,138,1125,975,300,256,28,7,35,37,8,111,221,1.99,0.263,0.339,0.413,0.752,403,61,11,10,18,6,7,0.3,84,112
Medium Lvrge,162,2291,2048,354,606,122,12,98,63,20,194,393,2.03,0.296,0.363,0.511,0.874,1046,53,29,6,14,0,8,0.323,112,143
Low Lvrge,162,2906,2600,275,742,140,19,88,41,12,258,504,1.95,0.285,0.354,0.455,0.809,1184,31,26,2,18,6,10,0.323,97,129
