Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
vs RHB,162,3736,3370,550,971,175,17,138,79,21,285,680,2.39,0.288,0.349,0.473,0.822,1594,84,44,11,26,2,14,0.323,100,133
vs LHB,162,2586,2253,379,633,115,21,83,62,19,278,438,1.58,0.281,0.362,0.461,0.823,1039,61,22,7,24,10,11,0.313,101,128
vs RHB as RHP,162,2342,2081,345,585,100,9,78,59,15,201,465,2.31,0.281,0.351,0.45,0.802,937,57,34,8,18,0,6,0.326,95,132
vs LHB as RHP,162,2136,1842,323,525,95,19,66,56,18,252,360,1.43,0.285,0.373,0.465,0.838,856,52,18,4,18,10,10,0.32,105,129
vs RHB as LHP,113,1394,1289,205,386,75,8,60,20,6,84,215,2.56,0.3,0.345,0.51,0.855,657,27,10,3,8,2,8,0.319,106,133
vs LHB as LHP,108,450,411,56,108,20,2,17,6,1,26,78,3.0,0.263,0.309,0.445,0.754,183,9,4,3,6,0,1,0.283,82,124
