Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
Home,37,44,0.457,5.46,340,81,81,0,0,18,737.0,851,472,447,111,277,3,562,30,4,26,3254,1.531,6.9,2.03
Away,24,57,0.296,5.51,317,81,81,0,0,19,689.2,753,457,422,110,286,9,556,36,0,33,3068,1.507,7.3,1.94
