Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,115,1143,1008,183,298,45,4,34,27,10,113,185,1.64,0.296,0.368,0.449,0.817,453,24,8,3,11,1,5,0.33,100,134
May,107,1045,928,126,238,42,4,27,18,2,102,180,1.76,0.257,0.333,0.398,0.73,369,31,7,2,6,3,4,0.29,79,111
June,108,1076,960,183,297,57,7,37,21,12,83,179,2.16,0.309,0.369,0.499,0.868,479,22,15,5,12,8,5,0.344,111,141
July,98,1014,912,146,265,54,12,40,18,7,78,205,2.63,0.291,0.352,0.508,0.86,463,18,13,2,9,0,4,0.333,108,133
August,119,1080,968,158,273,55,7,45,20,4,91,188,2.07,0.282,0.351,0.493,0.844,477,24,13,4,3,0,4,0.309,105,131
Sept/Oct,110,964,847,133,233,37,4,38,37,5,96,181,1.89,0.275,0.352,0.463,0.815,392,26,10,2,9,0,3,0.306,98,134
"April/Mar,GS",29,664,590,112,177,30,2,23,23,7,60,102,1.7,0.3,0.367,0.475,0.841,280,12,6,1,7,0,2,0.326,105,138
"May,GS",27,614,555,68,136,27,2,15,10,2,47,99,2.11,0.245,0.307,0.382,0.689,212,13,5,1,6,0,4,0.271,68,99
"June,GS",27,624,563,104,179,32,5,24,12,9,43,96,2.23,0.318,0.376,0.52,0.896,293,15,11,4,3,0,3,0.348,117,141
"July,GS",26,597,545,88,163,33,9,27,10,6,43,120,2.79,0.299,0.357,0.541,0.898,295,14,7,0,2,0,3,0.34,116,140
"August,GS",28,600,541,86,150,33,3,26,12,2,50,96,1.92,0.277,0.343,0.494,0.837,267,11,5,2,1,0,2,0.295,102,126
"Sept/Oct,GS",25,540,488,82,140,20,4,26,13,3,47,78,1.66,0.287,0.351,0.504,0.855,246,14,2,1,2,0,2,0.295,107,141
"April/Mar,GR",86,479,418,71,121,15,2,11,4,3,53,83,1.57,0.29,0.369,0.414,0.783,173,12,2,2,4,1,3,0.335,93,128
"May,GR",80,431,373,58,102,15,2,12,8,0,55,81,1.47,0.274,0.37,0.421,0.791,157,18,2,1,0,3,0,0.321,95,129
"June,GR",81,452,397,79,118,25,2,13,9,3,40,83,2.08,0.297,0.36,0.469,0.829,186,7,4,1,9,8,2,0.339,102,140
"July,GR",72,417,367,58,102,21,3,13,8,1,35,85,2.43,0.278,0.345,0.458,0.802,168,4,6,2,7,0,1,0.323,95,121
"August,GR",91,480,427,72,123,22,4,19,8,2,41,92,2.24,0.288,0.36,0.492,0.852,210,13,8,2,2,0,2,0.327,107,139
"Sept/Oct,GR",85,424,359,51,93,17,0,12,24,2,49,103,2.1,0.259,0.355,0.407,0.761,146,12,8,1,7,0,1,0.323,87,124
