Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
April/March,7,22,0.241,6.05,115,29,29,0,0,3,253.0,298,183,170,34,113,1,185,8,0,10,1143,1.625,6.6,1.64
May,14,13,0.519,4.32,107,27,27,0,0,9,244.0,238,126,117,27,102,3,180,7,0,12,1045,1.393,6.6,1.76
June,7,20,0.259,6.5,108,27,27,0,0,3,238.0,297,183,172,37,83,8,179,15,2,12,1076,1.597,6.8,2.16
July,11,15,0.423,5.29,98,26,26,0,0,7,228.0,265,146,134,40,78,0,205,13,0,10,1014,1.504,8.1,2.63
August,12,16,0.429,5.52,119,28,28,0,0,9,244.2,273,158,150,45,91,0,188,13,0,8,1080,1.488,6.9,2.07
Sept/Oct,10,15,0.4,5.18,110,25,25,0,0,6,219.0,233,133,126,38,96,0,181,10,2,7,964,1.502,7.4,1.89
"April/Mar,GS",1,16,0.059,6.49,29,29,0,0,0,0,145.2,177,112,105,23,60,0,102,6,0,4,664,1.627,6.3,1.7
"May,GS",9,7,0.563,3.93,27,27,0,0,0,0,146.2,136,68,64,15,47,0,99,5,0,6,614,1.248,6.1,2.11
"June,GS",3,16,0.158,6.3,27,27,0,0,0,0,138.2,179,104,97,24,43,0,96,11,1,3,624,1.601,6.2,2.23
"July,GS",5,12,0.294,5.44,26,26,0,0,0,0,135.2,163,88,82,27,43,0,120,7,0,5,597,1.518,8.0,2.79
"August,GS",5,10,0.333,5.47,28,28,0,0,0,0,136.2,150,86,83,26,50,0,96,5,0,1,600,1.463,6.3,1.92
"Sept/Oct,GS",4,12,0.25,5.66,25,25,0,0,0,0,122.1,140,82,77,26,47,0,78,2,1,1,540,1.529,5.7,1.66
"April/Mar,GR",6,6,0.5,5.45,86,0,29,0,0,3,107.1,121,71,65,11,53,1,83,2,0,6,479,1.621,7.0,1.57
"May,GR",5,6,0.455,4.9,80,0,27,0,0,9,97.1,102,58,53,12,55,3,81,2,0,6,431,1.613,7.5,1.47
"June,GR",4,4,0.5,6.8,81,0,27,0,0,3,99.1,118,79,75,13,40,8,83,4,1,9,452,1.591,7.5,2.08
"July,GR",6,3,0.667,5.07,72,0,26,0,0,7,92.1,102,58,52,13,35,0,85,6,0,5,417,1.484,8.3,2.43
"August,GR",7,6,0.538,5.58,91,0,28,0,0,9,108.0,123,72,67,19,41,0,92,8,0,7,480,1.519,7.7,2.24
"Sept/Oct,GR",6,3,0.667,4.56,85,0,25,0,0,6,96.2,93,51,49,12,49,0,103,8,1,6,424,1.469,9.6,2.1
