Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st Half,385,3815,3389,572,980,171,18,121,78,28,346,651,1.88,0.289,0.358,0.457,0.815,1550,84,35,10,34,12,15,0.324,99,130
2nd Half,272,2507,2234,357,624,119,20,100,63,12,217,467,2.15,0.279,0.349,0.485,0.834,1083,61,31,8,16,0,10,0.311,102,132
"1st Half,GS",97,2221,1998,328,578,104,10,77,52,21,177,358,2.02,0.289,0.352,0.467,0.819,933,47,24,6,16,0,10,0.317,99,128
"2nd Half,GS",65,1418,1284,212,367,71,15,64,28,8,113,233,2.06,0.286,0.348,0.514,0.862,660,32,12,3,5,0,6,0.305,108,136
"1st Half,GR",288,1594,1391,244,402,67,8,44,26,7,169,293,1.73,0.289,0.366,0.444,0.81,617,37,11,4,18,12,5,0.334,98,133
"2nd Half,GR",207,1089,950,145,257,48,5,36,35,4,104,234,2.25,0.271,0.351,0.445,0.796,423,29,19,5,11,0,4,0.32,94,127
