Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
1st Half,34,63,0.351,5.63,385,97,97,0,0,20,857.0,980,572,536,121,346,12,651,35,2,41,3815,1.547,6.8,1.88
2nd Half,27,38,0.415,5.26,272,65,65,0,0,17,569.2,624,357,333,100,217,0,467,31,2,18,2507,1.476,7.4,2.15
"1st Half,GS",15,46,0.246,5.49,97,97,0,0,0,0,503.1,578,328,307,77,177,0,358,24,1,16,2221,1.5,6.4,2.02
"2nd Half,GS",12,27,0.308,5.61,65,65,0,0,0,0,322.1,367,212,201,64,113,0,233,12,1,4,1418,1.489,6.5,2.06
"1st Half,GR",19,17,0.528,5.83,288,0,97,0,0,20,353.2,402,244,229,44,169,12,293,11,1,25,1594,1.615,7.5,1.73
"2nd Half,GR",15,11,0.577,4.8,207,0,65,0,0,17,247.1,257,145,132,36,104,0,234,19,1,14,1089,1.46,8.5,2.25
