Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
To Infield,162,2030,2012,80,171,6,0,0,0,0,0,0,,0.085,0.085,0.088,0.173,177,145,0,18,0,0,20,0.085,-57,110.0
To Outfield,162,2543,2493,825,1433,284,38,221,0,0,0,0,,0.575,0.564,0.985,1.549,2456,0,0,0,50,0,5,0.522,270,116.0
Ball In Play,162,4352,4284,550,1383,290,38,0,0,0,0,0,,0.323,0.319,0.408,0.727,1749,145,0,18,50,0,25,0.319,77,119.0
Not in Play,162,1970,1339,379,221,0,0,221,141,40,563,1118,1.99,0.165,0.432,0.66,1.092,884,0,66,0,0,12,0,,163,164.0
Fair Terr,162,4468,4400,905,1604,290,38,221,0,0,0,0,,0.365,0.36,0.598,0.959,2633,145,0,18,50,0,25,0.327,130,118.0
Foul Terr,78,105,105,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,
Pulled-RHB,159,770,769,178,315,73,3,61,0,0,0,0,,0.41,0.409,0.75,1.159,577,27,0,0,1,0,9,0.358,176,99.0
Up Mdle-RHB,162,1384,1356,277,467,66,4,64,0,0,0,0,,0.344,0.34,0.541,0.881,733,53,0,10,18,0,4,0.308,112,134.0
Opp Fld-RHB,149,563,555,85,189,36,10,13,0,0,0,0,,0.341,0.336,0.512,0.848,284,4,0,1,7,0,1,0.321,104,146.0
Pulled-LHB,157,668,660,177,248,38,10,43,0,0,0,0,,0.376,0.374,0.659,1.033,435,23,0,4,4,0,4,0.33,146,110.0
Up Mdle-LHB,158,917,897,161,305,65,9,33,0,0,0,0,,0.34,0.333,0.543,0.876,487,37,0,2,18,0,5,0.308,110,114.0
Opp Fld-LHB,120,255,252,27,80,12,2,7,0,0,0,0,,0.318,0.315,0.464,0.779,117,1,0,1,2,0,2,0.296,88,111.0
Unknown Loc,18,16,16,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100.0
