Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Night,418,4115,3663,590,1045,187,34,138,88,27,363,717,1.98,0.285,0.353,0.468,0.821,1714,102,42,11,36,6,15,0.319,100,130
Day,239,2207,1960,339,559,103,4,83,53,13,200,401,2.01,0.285,0.356,0.469,0.825,919,43,24,7,14,6,10,0.32,101,133
Open,586,5654,5029,827,1440,261,37,206,118,34,505,1019,2.02,0.286,0.355,0.476,0.831,2393,128,56,17,46,11,22,0.321,102,133
Retract,71,668,594,102,164,29,1,15,23,6,58,99,1.71,0.276,0.348,0.404,0.752,240,17,10,1,4,1,3,0.308,85,111
Grass,598,5742,5115,827,1453,264,36,203,129,36,507,1040,2.05,0.284,0.352,0.469,0.821,2398,129,56,17,46,11,24,0.319,100,131
Artif. Turf,59,580,508,102,151,26,2,18,12,4,56,78,1.39,0.297,0.375,0.463,0.838,235,16,10,1,4,1,1,0.32,105,134
