Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
"2 outs, RISP",162,801,685,273,182,25,5,24,18,8,105,142,1.35,0.266,0.372,0.422,0.794,289,0,11,0,0,10,9,0.304,95,123
Late & Close,93,933,796,154,213,28,7,34,28,4,111,190,1.71,0.268,0.36,0.449,0.808,357,28,9,7,10,5,6,0.308,97,138
Tie Game,158,1448,1290,204,370,70,6,57,40,7,136,246,1.81,0.287,0.359,0.483,0.842,623,26,13,4,5,4,7,0.316,105,138
Within 1 R,162,3001,2660,417,749,128,19,109,78,20,274,527,1.92,0.282,0.353,0.467,0.82,1242,71,32,12,23,6,13,0.313,100,131
Within 2 R,162,3985,3553,574,1022,173,28,143,95,27,343,708,2.06,0.288,0.354,0.473,0.827,1680,88,41,15,33,7,16,0.321,101,133
Within 3 R,162,4766,4240,703,1205,204,32,173,115,32,421,853,2.03,0.284,0.353,0.47,0.823,1992,104,51,17,35,11,20,0.318,100,131
Within 4 R,162,5372,4783,799,1371,242,34,198,124,37,476,947,1.99,0.287,0.356,0.476,0.831,2275,122,56,18,37,12,22,0.319,102,134
Margin > 4 R,74,950,840,130,233,48,4,23,17,3,87,171,1.97,0.277,0.347,0.426,0.774,358,23,10,0,13,0,3,0.319,89,115
Ahead,94,1862,1658,244,454,69,13,72,22,8,166,345,2.08,0.274,0.345,0.461,0.806,765,53,19,7,12,1,6,0.305,96,134
Behind,133,3012,2675,481,780,151,19,92,79,25,261,527,2.02,0.292,0.358,0.465,0.823,1245,66,34,7,33,7,12,0.329,101,122
