Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
2024 Totals,61,101,0.377,5.48,657,162,162,0,0,37,1426.2,1604,929,869,221,563,12,1118,66,4,59,6322,1.519,7.1,1.99
Last 7 days,1,5,0.167,7.5,26,6,6,0,0,1,54.0,72,46,45,11,20,0,49,3,2,3,250,1.704,8.2,2.45
Last 14 days,3,8,0.273,6.4,50,11,11,0,0,2,97.0,117,72,69,23,43,0,79,6,2,6,445,1.65,7.3,1.84
Last 28 days,10,14,0.417,5.14,105,24,24,0,0,6,210.0,224,127,120,37,92,0,175,9,2,7,924,1.505,7.5,1.9
