Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
in Wins,61,837,773,54,164,26,2,21,15,5,54,169,3.13,0.212,0.271,0.333,0.603,257,30,8,2,0,0,6,0.245,48,130
in Losses,101,1738,1549,390,545,111,16,93,47,15,149,248,1.66,0.352,0.413,0.624,1.038,967,36,22,5,12,4,7,0.371,150,113
in No Dec.,458,3603,3174,479,870,150,20,105,76,20,346,666,1.92,0.274,0.348,0.433,0.782,1375,76,35,10,37,8,12,0.314,91,124
in Saves,37,144,127,6,25,3,0,2,3,0,14,35,2.5,0.197,0.28,0.268,0.547,34,3,1,1,1,0,0,0.253,36,157
in Sv Situ,127,567,489,75,130,14,5,20,11,1,66,114,1.73,0.266,0.353,0.438,0.79,214,16,3,3,6,1,2,0.305,93,142
in non-Sv,368,2116,1852,314,529,101,8,60,50,10,207,413,2.0,0.286,0.362,0.446,0.808,826,50,27,6,23,11,7,0.335,98,127
