Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
RISP,162,1769,1501,693,436,76,9,60,48,14,183,315,1.72,.291,.366,.473,.839,710,51,24,11,50,12,10,.320,105,126
---,162,3370,3049,126,853,157,23,126,0,0,291,597,2.05,.280,.348,.470,.819,1434,0,29,0,0,0,12,.313,99,137
Men On,162,2952,2574,803,751,133,15,95,141,40,272,521,1.92,.292,.361,.466,.827,1199,145,37,18,50,12,13,.327,102,123
1--,162,1183,1073,110,315,57,6,35,93,26,89,206,2.31,.294,.355,.456,.811,489,94,13,7,0,0,3,.337,98,119
-2-,150,594,504,148,157,28,4,24,9,2,76,100,1.32,.312,.414,.526,.940,265,0,12,2,0,5,4,.350,129,158
--3,99,208,174,77,45,7,0,2,0,0,20,49,2.45,.259,.317,.333,.651,58,0,1,0,13,1,2,.316,61,72
12-,150,457,401,138,102,16,3,19,11,4,43,75,1.74,.254,.336,.451,.787,181,27,6,7,0,0,2,.270,91,121
1-3,122,207,171,96,47,7,0,4,28,8,14,35,2.50,.275,.307,.386,.693,66,13,2,2,18,2,0,.287,69,74
-23,87,160,124,100,39,7,0,6,0,0,22,26,1.18,.315,.388,.516,.904,64,0,1,0,13,4,2,.314,120,128
123,77,143,127,134,46,11,2,5,0,0,8,30,3.75,.362,.392,.598,.990,76,11,2,0,6,0,0,.418,139,166
"on 1st, <2 out",162,1236,1095,294,322,57,7,40,81,19,83,208,2.51,.294,.347,.469,.815,513,145,18,16,24,0,4,.324,98,115
"on 3rd, <2 out",132,374,298,267,105,23,2,10,14,2,23,71,3.09,.352,.347,.544,.890,162,24,1,2,50,2,0,.356,114,108
"on 3rd, 2 out",142,344,298,140,72,9,0,7,14,6,41,69,1.68,.242,.343,.342,.685,102,0,5,0,0,5,4,.293,70,95
"0 out, ---",162,1492,1337,63,375,69,5,63,0,0,134,262,1.96,.281,.355,.481,.836,643,0,20,0,0,0,4,.308,103,137
"0 out, 1--",152,375,335,22,103,17,3,7,26,4,30,62,2.07,.308,.373,.439,.812,147,45,5,5,0,0,1,.361,99,114
"0 out, -2-",76,127,112,25,36,9,1,4,1,0,9,21,2.33,.321,.392,.527,.919,59,0,4,2,0,0,0,.368,123,154
"0 out, --3",16,16,16,6,4,0,0,1,0,0,0,5,,.250,.250,.438,.688,7,0,0,0,0,0,0,.300,64,51
"0 out, 12-",77,114,99,36,30,6,0,6,2,1,8,21,2.63,.303,.361,.546,.907,54,11,1,6,0,0,0,.333,118,141
"0 out, 1-3",40,38,28,26,9,1,0,1,3,2,2,9,4.50,.321,.290,.464,.754,13,2,0,0,8,0,0,.308,81,64
"0 out, -23",24,28,23,20,8,1,0,2,0,0,2,6,3.00,.348,.357,.652,1.009,15,0,0,0,3,0,0,.333,140,123
"0 out, 123",20,25,21,27,9,2,0,0,0,0,0,4,,.429,.400,.524,.924,11,6,1,0,3,0,0,.450,125,143
"1 out, ---",162,1050,958,40,275,52,14,40,0,0,86,187,2.17,.287,.350,.496,.845,475,0,6,0,0,0,6,.322,105,146
"1 out, 1--",159,406,376,46,104,16,2,16,33,11,22,75,3.41,.277,.327,.457,.784,172,49,6,2,0,0,2,.309,90,110
"1 out, -2-",114,198,174,48,52,9,1,9,7,2,22,41,1.86,.299,.384,.517,.901,90,0,2,0,0,0,0,.347,119,153
"1 out, --3",71,86,65,48,23,4,0,1,0,0,8,21,2.63,.354,.361,.462,.822,30,0,0,0,13,1,0,.393,100,86
Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
"1 out, 12-",98,155,133,44,31,4,0,7,6,1,16,19,1.19,.233,.338,.421,.759,56,16,5,1,0,0,1,.224,85,113
"1 out, 1-3",66,75,59,47,21,5,0,2,11,0,4,8,2.00,.356,.343,.542,.885,32,11,0,2,10,0,0,.322,112,106
"1 out, -23",48,58,42,47,16,4,0,2,0,0,6,8,1.33,.381,.379,.619,.998,26,0,0,0,10,1,0,.333,139,132
"1 out, 123",40,48,44,46,15,6,2,1,0,0,1,10,10.00,.341,.333,.636,.970,28,5,0,0,3,0,0,.389,130,151
"2 out, ---",162,828,754,23,203,36,4,23,0,0,71,148,2.08,.269,.335,.419,.754,316,0,3,0,0,0,2,.309,84,125
"2 out, 1--",159,402,362,42,108,24,1,12,34,11,37,69,1.86,.298,.367,.470,.836,170,0,2,0,0,0,0,.342,104,132
"2 out, -2-",131,269,218,75,69,10,2,11,1,0,45,38,0.84,.317,.446,.532,.978,116,0,6,0,0,5,4,.343,140,162
"2 out, --3",83,106,93,23,18,3,0,0,0,0,12,23,1.92,.194,.293,.226,.518,21,0,1,0,0,0,2,.257,31,55
"2 out, 12-",115,188,169,58,41,6,3,6,3,2,19,35,1.84,.243,.319,.420,.739,71,0,0,0,0,0,1,.273,80,114
"2 out, 1-3",87,94,84,23,17,1,0,1,14,6,8,18,2.25,.202,.287,.250,.537,21,0,2,0,0,2,0,.246,35,50
"2 out, -23",54,74,59,33,15,2,0,2,0,0,14,12,0.86,.254,.405,.390,.795,23,0,1,0,0,3,2,.289,98,122
"2 out, 123",51,70,62,61,22,3,0,4,0,0,7,16,2.29,.355,.429,.597,1.025,37,0,1,0,0,0,0,.429,149,184
