Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
Alfredo Harp Stad,0,2,0.0,10.0,8,2,2,0,0,0,18.0,23,20,20,6,7,0,6,2,0,0,83,1.667,3.0,0.86
MIL-Am Fam Field,2,1,0.667,2.08,13,3,3,0,0,2,26.0,17,8,6,3,6,0,18,0,0,0,98,0.885,6.2,3.0
LAA-Angel Stad,2,1,0.667,5.0,12,3,3,0,0,2,27.0,29,15,15,4,6,0,24,3,0,3,117,1.296,8.0,4.0
STL-Busch Stad 3,2,2,0.5,4.24,16,4,4,0,0,2,34.0,35,20,16,2,11,0,29,1,0,2,150,1.353,7.7,2.64
ARI-Chase Field,1,6,0.143,7.49,30,7,7,0,0,0,57.2,71,52,48,8,30,0,40,5,0,3,270,1.751,6.2,1.33
NYM-Citi Field,1,2,0.333,6.48,15,3,3,0,0,1,25.0,27,19,18,7,17,0,32,2,0,2,121,1.76,11.5,1.88
PHI-CitizensBank,0,3,0.0,4.56,11,3,3,0,0,0,25.2,25,14,13,5,6,0,23,0,0,1,106,1.208,8.1,3.83
DET-Comerica Pk,1,2,0.333,6.84,14,3,3,0,0,1,25.0,28,20,19,3,12,0,27,0,0,1,112,1.6,9.7,2.25
COL-Coors Fld,37,42,0.468,5.34,332,79,79,0,0,18,719.0,828,452,427,105,270,3,556,28,4,26,3171,1.527,7.0,2.06
LAD-Dodger Stad,2,4,0.333,4.14,24,6,6,0,0,2,50.0,51,24,23,10,27,3,33,2,0,4,224,1.56,5.9,1.22
CIN-GreatAmer BP,1,3,0.25,8.18,14,4,4,0,0,1,33.0,47,31,30,10,11,0,34,2,0,1,155,1.758,9.3,3.09
CHW-Guaranteed,1,2,0.333,5.4,13,3,3,0,0,0,30.0,30,20,18,5,12,2,25,2,0,2,127,1.4,7.5,2.08
MIA-loanDepot pk,0,3,0.0,4.67,11,3,3,0,0,0,27.0,25,16,14,1,11,1,14,3,0,2,117,1.333,4.7,1.27
HOU-MinuteMaidPk,0,2,0.0,5.63,7,2,2,0,0,0,16.0,19,12,10,0,3,0,9,2,0,1,73,1.375,5.1,3.0
WSN-Natls Park,1,2,0.333,5.4,11,3,3,0,0,1,25.0,28,15,15,3,9,0,16,1,0,0,110,1.48,5.8,1.78
OAK-Oakland Col.,1,2,0.333,4.4,15,3,3,0,0,1,30.2,31,18,15,7,12,1,31,0,0,1,131,1.402,9.1,2.58
SFG-Oracle Park,0,7,0.0,7.71,27,7,7,0,0,0,56.0,85,53,48,10,25,1,52,4,0,2,279,1.964,8.4,2.08
SDP-Petco Pk,4,2,0.667,3.81,22,6,6,0,0,3,52.0,41,22,22,8,28,0,35,1,0,2,217,1.327,6.1,1.25
PIT-PNC Pk,1,2,0.333,2.81,9,3,3,0,0,1,25.2,19,8,8,2,7,1,25,1,0,1,102,1.013,8.8,3.57
TOR-Rogers Ctr,1,2,0.333,5.04,10,3,3,0,0,0,25.0,32,14,14,3,8,0,18,0,0,1,110,1.6,6.5,2.25
MIN-Target Field,1,2,0.333,9.0,12,3,3,0,0,1,25.0,39,26,25,5,6,0,14,2,0,1,116,1.8,5.0,2.33
ATL-Truist Pk,1,2,0.333,2.88,10,3,3,0,0,1,25.0,19,9,8,1,13,0,20,2,0,0,105,1.28,7.2,1.54
CHC-Wrigley Fld,0,3,0.0,8.63,11,3,3,0,0,0,24.0,33,26,23,5,17,0,17,1,0,3,122,2.083,6.4,1.0
NYY-Yankee Stad3,1,2,0.333,5.04,10,3,3,0,0,0,25.0,22,15,14,8,9,0,20,2,0,0,106,1.24,7.2,2.22
