Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
Jeremie Rehak,3,2,.600,5.23,18,5,5,0,0,1,43.0,44,26,25,7,17,0,37,3,0,3,189,1.419,7.7,2.18
Jeremy Riggs,0,2,.000,8.47,8,2,2,0,0,0,17.0,25,19,16,2,11,0,12,0,0,1,83,2.118,6.4,1.09
John Bacon,0,1,.000,11.00,5,1,1,0,0,0,9.0,19,11,11,2,5,0,6,0,0,0,48,2.667,6.0,1.20
John Libka,1,1,.500,5.00,10,2,2,0,0,1,18.0,24,10,10,0,6,0,18,0,0,0,80,1.667,9.0,3.00
John Tumpane,1,0,1.000,2.00,4,1,1,0,0,0,9.0,5,2,2,1,4,0,9,1,0,0,36,1.000,9.0,2.25
Jonathan Parra,1,0,1.000,5.00,5,1,1,0,0,1,9.0,12,5,5,3,0,0,10,0,0,0,38,1.333,10.0,
Jordan Baker,0,2,.000,10.69,8,2,2,0,0,0,16.0,23,19,19,5,6,0,17,2,0,2,78,1.813,9.6,2.83
Junior Valentine,1,0,1.000,8.00,5,1,1,0,0,1,9.0,13,8,8,4,4,0,6,0,0,0,41,1.889,6.0,1.50
Lance Barksdale,1,2,.333,6.58,12,3,3,0,0,0,26.0,34,19,19,4,9,0,22,2,0,0,123,1.654,7.6,2.44
Lance Barrett,2,0,1.000,3.50,8,2,2,0,0,2,18.0,19,7,7,2,6,0,14,2,0,2,75,1.389,7.0,2.33
Larry Vanover,3,0,1.000,1.33,9,3,3,0,0,3,27.0,18,4,4,3,5,0,16,0,0,1,102,0.852,5.3,3.20
Laz Diaz,0,1,.000,3.38,4,1,1,0,0,0,8.0,13,5,3,1,3,0,11,0,0,0,41,2.000,12.4,3.67
Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO/W
Malachi Moore,2,0,1.000,4.71,10,2,2,0,0,2,21.0,19,12,11,3,7,0,19,0,0,0,86,1.238,8.1,2.71
Manny Gonzalez,1,1,.500,4.50,7,2,2,0,0,0,18.0,21,9,9,2,9,0,15,0,0,1,80,1.667,7.5,1.67
Mark Carlson,2,1,.667,2.32,12,3,3,0,0,1,31.0,24,10,8,2,9,1,19,0,0,1,123,1.065,5.5,2.11
Mark Ripperger,1,2,.333,3.46,10,3,3,0,0,0,26.0,27,10,10,3,8,0,23,0,0,1,110,1.346,8.0,2.88
Mark Wegner,2,1,.667,6.52,16,3,3,0,0,1,29.0,32,25,21,3,11,0,18,7,0,0,132,1.483,5.6,1.64
Marvin Hudson,0,1,.000,8.00,5,1,1,0,0,0,9.0,9,8,8,1,5,0,12,0,0,0,41,1.556,12.0,2.40
Mike Estabrook,0,2,.000,7.94,6,2,2,0,0,0,17.0,24,17,15,3,4,0,11,3,0,1,79,1.647,5.8,2.75
Mike Muchlinski,0,1,.000,2.25,4,1,1,0,0,0,8.0,7,3,2,0,5,0,6,1,0,0,35,1.500,6.8,1.20
Nate Tomlinson,1,2,.333,4.32,10,3,3,0,0,0,25.0,26,12,12,3,10,2,15,0,0,1,109,1.440,5.4,1.50
Nestor Ceja,0,2,.000,6.35,7,2,2,0,0,0,17.0,22,13,12,2,5,0,13,0,0,2,76,1.588,6.9,2.60
Nic Lentz,1,2,.333,6.92,13,3,3,0,0,1,26.0,32,22,20,7,15,1,17,1,0,1,125,1.808,5.9,1.13
Nick Mahrley,1,1,.500,8.47,10,2,2,0,0,0,17.0,25,17,16,5,8,0,19,1,0,1,84,1.941,10.1,2.38
Paul Clemons,0,1,.000,5.63,5,1,1,0,0,0,8.0,10,5,5,3,1,0,4,0,0,0,33,1.375,4.5,4.00
Phil Cuzzi,0,1,.000,7.88,3,1,1,0,0,0,8.0,14,7,7,3,4,0,2,0,0,1,40,2.250,2.3,0.50
Quinn Wolcott,0,1,.000,11.25,4,1,1,0,0,0,8.0,14,10,10,1,6,1,5,1,0,1,44,2.500,5.6,0.83
Ramon De Jesus,0,1,.000,11.00,5,1,1,0,0,0,9.0,11,11,11,4,5,0,7,0,0,1,41,1.778,7.0,1.40
Rob Drake,2,1,.667,3.00,10,3,3,0,0,0,27.0,23,9,9,5,7,0,26,1,0,2,107,1.111,8.7,3.71
Roberto Ortiz,2,0,1.000,1.50,9,2,2,0,0,2,18.0,12,4,3,0,2,0,16,0,0,0,68,0.778,8.0,8.00
Ryan Additon,0,1,.000,9.00,4,1,1,0,0,0,9.0,13,10,9,1,0,0,10,2,0,1,43,1.444,10.0,
Ryan Wills,1,1,.500,6.50,9,2,2,0,0,1,18.0,27,14,13,2,11,0,11,2,1,0,88,2.111,5.5,1.00
Scott Barry,1,0,1.000,2.00,5,1,1,0,0,1,9.0,8,2,2,0,6,0,5,0,0,0,40,1.556,5.0,0.83
Sean Barber,0,2,.000,13.76,10,2,2,0,0,0,17.0,33,26,26,4,10,0,11,1,0,0,91,2.529,5.8,1.10
Stu Scheurwater,0,1,.000,1.04,3,1,1,0,0,0,8.2,6,1,1,0,5,1,7,0,0,1,36,1.269,7.3,1.40
Todd Tichenor,0,1,.000,5.63,4,1,1,0,0,0,8.0,12,5,5,0,2,0,4,0,0,0,36,1.750,4.5,2.00
Tom Hanahan,1,1,.500,7.00,10,2,2,0,0,1,18.0,25,14,14,1,15,1,21,1,1,0,93,2.222,10.5,1.40
Tony Randazzo,2,0,1.000,2.50,9,2,2,0,0,1,18.0,14,5,5,3,10,0,14,0,0,0,72,1.333,7.0,1.40
Tripp Gibson,0,3,.000,6.58,13,3,3,0,0,0,26.0,37,20,19,6,6,0,20,2,0,0,121,1.654,6.9,3.33
Vic Carapazza,2,1,.667,2.77,11,3,3,0,0,2,26.0,19,9,8,1,9,0,20,1,0,1,104,1.077,6.9,2.22
Will Little,0,2,.000,8.47,7,2,2,0,0,0,17.0,17,17,16,5,11,1,14,0,0,1,75,1.647,7.4,1.27
