Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
Adam Beck,1,0,1.000,2.00,4,1,1,0,0,1,9.0,7,2,2,1,4,0,5,0,0,0,38,1.222,5.0,1.25
Alan Porter,0,1,.000,8.00,3,1,1,0,0,0,9.0,8,8,8,3,2,0,2,1,0,0,37,1.111,2.0,1.00
Alex MacKay,1,3,.250,3.71,16,4,4,0,0,0,34.0,35,17,14,7,12,0,23,2,0,1,144,1.382,6.1,1.92
Alex Tosi,0,1,.000,3.38,3,1,1,0,0,0,8.0,5,5,3,1,2,0,6,1,0,0,31,0.875,6.8,3.00
Alfonso Márquez,2,2,.500,4.89,15,4,4,0,0,2,35.0,28,20,19,7,20,0,25,1,0,3,149,1.371,6.4,1.25
Andy Fletcher,0,2,.000,4.58,8,2,2,0,0,0,17.2,16,10,9,2,12,0,14,1,0,1,80,1.585,7.1,1.17
Ben May,0,1,.000,2.25,3,1,1,0,0,0,8.0,9,5,2,0,3,0,4,0,0,0,35,1.500,4.5,1.33
Bill Miller,0,3,.000,5.19,11,3,3,0,0,0,26.0,23,16,15,4,10,0,18,1,0,1,108,1.269,6.2,1.80
Brennan Miller,1,1,.500,6.00,8,2,2,0,0,0,18.0,21,12,12,3,3,0,15,0,0,0,74,1.333,7.5,5.00
Brian Knight,0,1,.000,7.00,4,1,1,0,0,0,9.0,16,7,7,1,6,0,3,0,0,1,45,2.444,3.0,0.50
Brian O'Nora,1,2,.333,4.85,12,3,3,0,0,0,26.0,31,14,14,3,10,0,27,2,0,1,119,1.577,9.3,2.70
Brian Walsh,1,2,.333,5.79,14,3,3,0,0,0,28.0,31,19,18,5,9,0,21,0,0,2,123,1.429,6.8,2.33
Bruce Dreckman,0,4,.000,6.95,16,4,4,0,0,0,33.2,37,30,26,8,16,0,24,1,0,3,155,1.574,6.4,1.50
Carlos Torres,0,1,.000,2.00,4,1,1,0,0,0,9.0,5,2,2,1,2,0,7,0,1,0,33,0.778,7.0,3.50
CB Bucknor,1,1,.500,6.35,10,2,2,0,0,0,17.0,20,12,12,3,13,0,15,1,0,1,81,1.941,7.9,1.15
Chad Fairchild,1,1,.500,7.00,9,2,2,0,0,0,18.0,23,14,14,4,6,0,15,0,0,3,82,1.611,7.5,2.50
Chad Whitson,1,0,1.000,4.00,4,1,1,0,0,1,9.0,12,4,4,0,3,0,7,0,0,0,40,1.667,7.0,2.33
Charlie Ramos,1,1,.500,6.50,10,2,2,0,0,1,18.0,17,14,13,5,10,0,18,2,0,0,81,1.500,9.0,1.80
Chris Conroy,1,0,1.000,2.00,3,1,1,0,0,1,9.0,5,3,2,1,1,0,9,0,0,0,33,0.667,9.0,9.00
Chris Guccione,1,0,1.000,8.00,5,1,1,0,0,1,9.0,14,8,8,4,2,0,9,0,0,0,41,1.778,9.0,4.50
Chris Segal,2,1,.667,5.33,12,3,3,0,0,1,27.0,33,17,16,5,8,0,18,2,0,0,121,1.519,6.0,2.25
Clint Vondrak,0,1,.000,6.00,3,1,1,0,0,0,9.0,11,6,6,2,6,0,6,1,0,0,44,1.889,6.0,1.00
D.J. Reyburn,1,2,.333,4.55,13,3,3,0,0,0,27.2,34,18,14,4,8,0,18,2,0,2,126,1.518,5.9,2.25
Dan Bellino,0,2,.000,14.63,9,2,2,0,0,0,16.0,32,26,26,2,6,0,18,3,0,2,88,2.375,10.1,3.00
Dan Iassogna,0,1,.000,13.50,3,1,1,0,0,0,8.0,14,12,12,4,7,0,6,1,0,2,46,2.625,6.8,0.86
Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO/W
Dan Merzel,1,2,.333,4.68,10,3,3,0,0,1,25.0,24,13,13,2,10,1,21,2,0,0,104,1.360,7.6,2.10
David Rackley,0,3,.000,6.92,13,3,3,0,0,0,26.0,34,20,20,6,18,1,26,0,0,2,126,2.000,9.0,1.44
Derek Thomas,1,0,1.000,3.00,4,1,1,0,0,1,9.0,8,3,3,0,6,0,5,0,0,1,39,1.556,5.0,0.83
Doug Eddings,1,4,.200,3.94,21,5,5,0,0,0,45.2,47,22,20,5,14,1,34,0,0,2,190,1.336,6.7,2.43
Edwin Jimenez,0,2,.000,11.25,10,2,2,0,0,0,16.0,33,21,20,3,4,0,9,1,0,0,84,2.313,5.1,2.25
Edwin Moscoso,1,2,.333,4.50,13,3,3,0,0,1,26.0,24,17,13,2,10,0,17,2,0,1,113,1.308,5.9,1.70
Emil Jimenez,2,2,.500,5.00,16,4,4,0,0,2,36.0,39,20,20,7,11,0,40,2,0,2,156,1.389,10.0,3.64
Erich Bacchus,0,1,.000,5.63,3,1,1,0,0,0,8.0,11,5,5,1,0,0,6,0,0,0,33,1.375,6.8,
Gabe Morales,1,1,.500,2.37,7,2,2,0,0,0,19.0,15,6,5,0,7,0,17,1,0,0,78,1.158,8.1,2.43
Hunter Wendelstedt,1,2,.333,3.81,9,3,3,0,0,0,26.0,24,13,11,4,7,0,17,0,1,0,106,1.192,5.9,2.43
Jacob Metz,1,0,1.000,3.60,5,1,1,0,0,1,10.0,9,4,4,2,2,0,6,0,0,1,41,1.100,5.4,3.00
James Hoye,0,1,.000,9.00,5,1,1,0,0,0,9.0,12,9,9,2,6,0,5,0,0,0,42,2.000,5.0,0.83
Jansen Visconti,1,1,.500,3.44,5,2,2,0,0,1,18.1,14,8,7,0,2,1,12,2,0,0,70,0.873,5.9,6.00
