Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
2024 Totals,657,6322,5623,929,1604,290,38,221,141,40,563,1118,1.99,0.285,0.354,0.468,0.823,2633,145,66,18,50,12,25,0.319,100,131
Last 7 days,26,250,224,46,72,17,1,11,9,1,20,49,2.45,0.321,0.38,0.554,0.934,124,4,3,0,3,0,0,0.365,126,171
Last 14 days,50,445,390,72,117,22,1,23,18,1,43,79,1.84,0.3,0.374,0.539,0.912,210,10,6,1,5,0,2,0.321,121,159
Last 28 days,105,924,812,127,224,36,4,37,35,5,92,175,1.9,0.276,0.353,0.467,0.819,379,25,9,2,9,0,3,0.307,99,135
