Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
Night,43,63,0.406,5.39,418,106,106,0,0,26,934.2,1045,590,560,138,363,6,717,42,3,44,4115,1.506,6.9,1.98
Day,18,38,0.321,5.65,239,56,56,0,0,11,492.0,559,339,309,83,200,6,401,24,1,15,2207,1.543,7.3,2.01
Open,57,87,0.396,5.48,586,144,144,0,0,35,1275.0,1440,827,777,206,505,11,1019,56,4,52,5654,1.526,7.2,2.02
Retract,4,14,0.222,5.46,71,18,18,0,0,2,151.2,164,102,92,15,58,1,99,10,0,7,668,1.464,5.9,1.71
Grass,59,88,0.401,5.36,598,147,147,0,0,37,1299.0,1453,827,773,203,507,11,1040,56,4,53,5742,1.509,7.2,2.05
Artif. Turf,2,13,0.133,6.77,59,15,15,0,0,0,127.2,151,102,96,18,56,1,78,10,0,6,580,1.621,5.5,1.39
