Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
in Wins,61,0,1.0,1.96,61,27,10,0,0,0,215.2,164,54,47,21,54,0,169,8,0,2,837,1.011,7.1,3.13
in Losses,0,101,0.0,9.24,101,73,12,0,0,0,356.1,545,390,366,93,149,4,248,22,1,13,1738,1.948,6.3,1.66
in No Dec.,0,0,,4.95,458,62,103,0,0,0,818.2,870,479,450,105,346,8,666,35,3,41,3603,1.485,7.3,1.92
in Saves,0,0,,1.5,37,0,37,0,0,37,36.0,25,6,6,2,14,0,35,1,0,3,144,1.083,8.8,2.5
in Sv Situ,5,11,0.313,4.97,127,0,44,0,0,37,128.2,130,75,71,20,66,1,114,3,0,12,567,1.523,8.0,1.73
in non-Sv,29,17,0.63,5.53,368,0,118,0,0,0,472.1,529,314,290,60,207,11,413,27,2,27,2116,1.558,7.9,2.0
