Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Batting 1st,162,775,682,109,210,39,6,28,18,3,80,107,1.34,0.308,0.384,0.506,0.89,345,15,7,1,5,1,4,0.33,117,140
Batting 2nd,162,761,678,110,210,36,7,29,29,4,67,133,1.99,0.31,0.372,0.512,0.883,347,9,5,1,9,1,3,0.345,115,134
Batting 3rd,162,741,664,131,183,33,3,34,19,11,63,145,2.3,0.276,0.342,0.488,0.83,324,21,7,1,6,3,1,0.304,101,113
Batting 4th,162,724,649,131,189,41,1,37,19,5,61,142,2.33,0.291,0.354,0.529,0.883,343,19,6,0,7,0,3,0.319,113,138
Batting 5th,162,703,629,95,162,31,0,21,8,5,63,116,1.84,0.258,0.332,0.407,0.739,256,21,8,1,2,1,4,0.285,81,107
Batting 6th,162,680,612,87,174,28,5,15,8,2,48,125,2.6,0.284,0.339,0.42,0.759,257,15,8,2,10,1,3,0.33,86,120
Batting 7th,162,665,585,89,178,33,7,26,14,3,69,126,1.83,0.304,0.385,0.518,0.903,303,14,8,2,1,1,3,0.35,119,160
Batting 8th,162,648,567,94,146,24,4,20,13,3,63,113,1.79,0.258,0.34,0.42,0.76,238,16,10,4,4,3,1,0.288,86,132
Batting 9th,162,625,557,83,152,25,5,11,13,4,49,111,2.27,0.273,0.336,0.395,0.731,220,15,7,6,6,1,3,0.32,79,137
"Bat1-2,non-P",162,1536,1360,219,420,75,13,57,47,7,147,240,1.63,0.309,0.378,0.509,0.887,692,24,12,2,14,2,7,0.337,116,137
"Bat3-6,non-P",162,2848,2554,444,708,133,9,107,54,23,235,528,2.25,0.277,0.342,0.462,0.804,1180,76,29,4,25,5,11,0.309,95,120
"Bat7-9,non-P",162,1938,1709,266,476,82,16,57,40,10,181,350,1.93,0.279,0.354,0.445,0.799,761,45,25,12,11,5,7,0.319,95,143
