Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Inter-League,187,1816,1631,275,463,81,9,63,38,8,141,323,2.29,0.284,0.346,0.461,0.806,751,45,22,6,16,3,9,0.317,96,128
Los Angeles Angels,12,117,106,15,29,5,0,4,4,1,6,24,4.0,0.274,0.33,0.434,0.764,46,1,3,2,0,0,0,0.321,86,127
Arizona Diamondbacks,57,506,436,78,123,24,2,16,12,3,58,79,1.36,0.282,0.372,0.456,0.828,199,15,6,2,3,0,3,0.311,103,114
Atlanta Braves,25,225,199,33,55,10,1,12,5,2,22,43,1.95,0.276,0.353,0.518,0.87,103,8,2,1,1,0,0,0.297,110,139
Baltimore Orioles,15,117,106,16,27,5,1,4,4,1,8,23,2.88,0.255,0.325,0.434,0.759,46,1,3,0,0,0,1,0.291,85,103
Boston Red Sox,12,130,117,21,35,10,2,5,1,1,9,20,2.22,0.299,0.354,0.547,0.901,64,5,2,0,2,0,1,0.319,117,140
Chicago Cubs,25,253,216,42,68,5,1,11,8,0,32,42,1.31,0.315,0.403,0.5,0.903,108,6,2,0,3,0,0,0.343,121,154
Chicago White Sox,13,127,110,20,30,5,0,5,0,1,12,25,2.08,0.273,0.352,0.455,0.807,50,6,2,2,1,2,0,0.309,97,160
Cincinnati Reds,27,282,253,60,89,20,3,17,9,2,17,51,3.0,0.352,0.402,0.656,1.058,166,7,7,1,4,0,0,0.381,154,201
Cleveland Guardians,11,122,107,23,31,9,0,4,3,0,11,17,1.55,0.29,0.361,0.486,0.847,52,5,2,0,2,0,1,0.307,106,141
Detroit Tigers,14,112,97,20,28,4,2,3,0,0,12,27,2.25,0.289,0.36,0.464,0.824,45,3,0,1,2,0,0,0.362,101,141
Miami Marlins,28,282,249,41,72,13,2,6,7,1,26,44,1.69,0.289,0.362,0.43,0.791,107,8,4,0,3,1,1,0.327,94,134
Houston Astros,15,156,140,32,42,7,1,6,6,1,10,15,1.5,0.3,0.359,0.493,0.852,69,3,4,0,2,0,1,0.298,107,129
Kansas City Royals,10,112,107,13,30,2,1,4,1,0,4,17,4.25,0.28,0.304,0.43,0.734,46,1,0,0,1,0,1,0.299,78,106
Los Angeles Dodgers,54,526,453,81,134,23,3,23,19,1,62,83,1.34,0.296,0.385,0.512,0.897,232,12,6,0,4,6,1,0.316,118,130
Milwaukee Brewers,29,261,236,25,60,8,1,5,10,3,22,42,1.91,0.254,0.318,0.36,0.678,85,5,1,0,2,0,1,0.288,67,87
Minnesota Twins,12,116,105,26,39,11,0,5,2,1,6,14,2.33,0.371,0.405,0.619,1.024,65,3,2,0,3,0,0,0.382,147,179
New York Mets,31,241,212,36,60,12,1,10,5,2,25,57,2.28,0.283,0.365,0.491,0.856,104,1,3,0,1,0,0,0.343,108,133
New York Yankees,10,106,95,15,22,2,0,8,0,0,9,20,2.22,0.232,0.311,0.505,0.817,48,3,2,0,0,0,1,0.209,96,111
Oakland Athletics,15,131,119,18,31,6,1,7,4,0,12,31,2.58,0.261,0.328,0.504,0.832,60,4,0,0,0,1,0,0.296,100,137
Philadelphia Phillies,24,221,204,26,49,9,1,8,5,3,14,40,2.86,0.24,0.291,0.412,0.703,84,4,1,1,1,0,1,0.261,70,87
Pittsburgh Pirates,21,218,204,25,53,7,2,7,1,2,12,52,4.33,0.26,0.307,0.417,0.724,85,4,2,0,0,1,1,0.317,76,114
San Diego Padres,50,493,428,56,113,18,2,14,8,4,56,74,1.32,0.264,0.349,0.414,0.763,177,15,2,3,4,0,2,0.288,87,106
Seattle Mariners,12,128,112,18,35,2,1,2,4,1,12,23,1.92,0.313,0.383,0.402,0.785,45,3,2,0,2,0,1,0.371,94,130
San Francisco Giants,48,500,448,76,134,30,8,15,4,2,42,98,2.33,0.299,0.364,0.502,0.866,225,12,5,2,3,1,3,0.352,110,146
St. Louis Cardinals,28,270,246,40,69,14,1,7,1,2,17,55,3.24,0.281,0.327,0.431,0.758,106,2,2,1,4,0,1,0.33,85,115
Tampa Bay Rays,14,123,109,18,30,8,0,1,5,0,13,31,2.38,0.275,0.353,0.376,0.729,41,2,0,1,0,0,1,0.377,80,119
Texas Rangers,12,109,99,6,22,1,0,2,2,0,9,18,2.0,0.222,0.284,0.293,0.577,29,3,0,0,1,0,1,0.25,43,70
Toronto Blue Jays,10,110,102,14,32,4,0,3,2,1,8,18,2.25,0.314,0.364,0.441,0.805,45,2,0,0,0,0,0,0.358,97,130
Washington Nationals,23,228,208,35,62,16,1,7,9,5,17,35,2.06,0.298,0.352,0.486,0.838,101,1,1,1,1,0,2,0.329,103,144
WP < .500,223,2227,2007,328,584,115,17,74,47,15,174,427,2.45,0.291,0.353,0.476,0.828,955,50,24,9,13,6,9,0.336,101,143
WP >= .500,434,4095,3616,601,1020,175,21,147,94,25,389,691,1.78,0.282,0.355,0.464,0.819,1678,95,42,9,37,6,16,0.31,99,124
