Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Adam Beck,4,38,34,2,7,1,0,1,0,0,4,5,1.25,.206,.290,.324,.613,11,0,0,0,0,0,0,.214,51,68
Alan Porter,3,37,33,8,8,1,0,3,1,0,2,2,1.00,.242,.297,.546,.843,18,1,1,0,1,0,0,.172,100,148
Alex MacKay,16,144,129,17,35,3,0,7,5,3,12,23,1.92,.271,.340,.457,.798,59,7,2,0,1,0,1,.280,94,132
Alex Tosi,3,31,28,5,5,1,0,1,3,1,2,6,3.00,.179,.258,.321,.580,9,2,1,0,0,0,1,.191,42,71
Alfonso Márquez,15,149,125,20,28,9,0,7,1,0,20,25,1.25,.224,.329,.464,.793,58,4,1,0,3,0,0,.219,92,124
Andy Fletcher,8,80,66,10,16,4,0,2,3,1,12,14,1.17,.242,.363,.394,.756,26,1,1,0,1,0,0,.275,87,97
Ben May,3,35,32,5,9,0,0,0,0,0,3,4,1.33,.281,.343,.281,.624,9,0,0,0,0,0,0,.321,57,89
Bill Miller,11,108,96,16,23,3,1,4,4,2,10,18,1.80,.240,.315,.417,.732,40,3,1,0,1,0,1,.253,78,122
Brennan Miller,8,74,70,12,21,3,1,3,3,1,3,15,5.00,.300,.324,.500,.824,35,2,0,0,1,0,0,.340,98,155
Brian Knight,4,45,39,7,16,0,0,1,2,0,6,3,0.50,.410,.489,.487,.976,19,2,0,0,0,0,0,.429,142,185
Brian O'Nora,12,119,106,14,31,8,1,3,2,0,10,27,2.70,.293,.361,.472,.833,50,0,2,0,1,0,0,.364,103,122
Brian Walsh,14,123,112,19,31,5,0,5,1,0,9,21,2.33,.277,.325,.455,.781,51,1,0,0,2,0,1,.296,89,112
Bruce Dreckman,16,155,134,30,37,8,1,8,7,0,16,24,1.50,.276,.351,.530,.881,71,3,1,1,3,0,1,.276,112,120
Carlos Torres,4,33,31,2,5,0,0,1,2,0,2,7,3.50,.161,.212,.258,.470,8,1,0,0,0,0,0,.174,15,27
CB Bucknor,10,81,65,12,20,1,1,3,1,0,13,15,1.15,.308,.420,.492,.912,32,5,1,0,2,0,0,.347,124,162
Chad Fairchild,9,82,74,14,23,3,0,4,4,0,6,15,2.50,.311,.354,.514,.867,38,1,0,0,2,0,0,.333,110,133
Chad Whitson,4,40,36,4,12,1,0,0,1,1,3,7,2.33,.333,.375,.361,.736,13,1,0,0,1,0,0,.400,83,109
Charlie Ramos,10,81,68,14,17,1,1,5,5,1,10,18,1.80,.250,.358,.515,.873,35,0,2,0,1,0,1,.261,111,145
Chris Conroy,3,33,32,3,5,2,1,1,1,0,1,9,9.00,.156,.182,.375,.557,12,0,0,0,0,0,1,.182,32,76
Chris Guccione,5,41,39,8,14,5,0,4,0,1,2,9,4.50,.359,.390,.795,1.185,31,1,0,0,0,0,0,.385,180,225
Chris Segal,12,121,109,17,33,7,1,5,5,0,8,18,2.25,.303,.358,.523,.881,57,4,2,1,1,0,1,.322,113,138
Clint Vondrak,3,44,37,6,11,4,0,2,1,0,6,6,1.00,.297,.409,.568,.977,21,0,1,0,0,0,0,.310,137,157
D.J. Reyburn,13,126,115,18,34,5,1,4,5,1,8,18,2.25,.296,.352,.461,.813,53,1,2,1,0,0,2,.323,98,129
Dan Bellino,9,88,77,26,32,7,0,2,3,0,6,18,3.00,.416,.471,.584,1.056,45,1,3,1,1,0,0,.517,158,190
Dan Iassogna,3,46,38,12,14,2,1,4,1,0,7,6,0.86,.368,.478,.790,1.268,30,0,1,0,0,0,0,.357,204,268
Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Dan Merzel,10,104,92,13,24,5,0,2,1,2,10,21,2.10,.261,.346,.380,.727,35,4,2,0,0,1,0,.319,79,106
David Rackley,13,126,107,20,34,3,1,6,4,1,18,26,1.44,.318,.413,.533,.945,57,2,0,0,1,1,0,.368,131,180
Derek Thomas,4,39,33,3,8,2,0,0,0,1,6,5,0.83,.242,.359,.303,.662,10,1,0,0,0,0,0,.286,66,78
Doug Eddings,21,190,176,22,47,9,3,5,4,1,14,34,2.43,.267,.321,.438,.759,77,6,0,0,0,1,0,.307,84,129
Edwin Jimenez,10,84,78,21,33,7,0,3,1,1,4,9,2.25,.423,.452,.628,1.081,49,1,1,0,1,0,1,.448,162,209
Edwin Moscoso,13,113,100,17,24,4,1,2,3,0,10,17,1.70,.240,.319,.360,.679,36,2,2,0,1,0,1,.268,67,95
Emil Jimenez,16,156,142,20,39,7,0,7,3,1,11,40,3.64,.275,.333,.472,.805,67,3,2,0,1,0,0,.333,95,119
Erich Bacchus,3,33,32,5,11,4,1,1,0,0,0,6,,.344,.333,.625,.958,20,2,0,0,1,0,0,.385,128,170
Gabe Morales,7,78,68,6,15,3,1,0,2,1,7,17,2.43,.221,.295,.294,.589,20,1,1,0,2,0,0,.283,46,71
Hunter Wendelstedt,9,106,98,13,24,6,0,4,1,3,7,17,2.43,.245,.295,.429,.724,42,2,0,1,0,0,3,.260,75,105
Jacob Metz,5,41,39,4,9,1,0,2,1,0,2,6,3.00,.231,.268,.410,.679,16,0,0,0,0,0,0,.226,63,102
James Hoye,5,42,35,9,12,4,2,2,0,0,6,5,0.83,.343,.429,.743,1.172,26,3,0,0,1,0,0,.345,180,221
Jansen Visconti,5,70,65,8,14,3,0,0,0,1,2,12,6.00,.215,.257,.262,.519,17,2,2,0,1,1,0,.259,29,43
Jeremie Rehak,18,189,168,26,44,10,1,7,5,2,17,37,2.18,.262,.339,.458,.797,77,5,3,0,1,0,2,.296,94,123
Jeremy Riggs,8,83,71,19,25,3,1,2,1,1,11,12,1.09,.352,.434,.507,.941,36,1,0,0,1,0,1,.397,131,175
