Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
John Bacon,5,48,42,11,19,7,1,2,2,1,5,6,1.20,.452,.500,.810,1.310,34,1,0,0,1,0,0,.486,214,285
John Libka,10,80,74,10,24,3,0,0,0,2,6,18,3.00,.324,.375,.365,.740,27,1,0,0,0,0,0,.429,84,117
John Tumpane,4,36,31,2,5,1,0,1,0,0,4,9,2.25,.161,.278,.290,.568,9,1,1,0,0,0,0,.191,41,53
Jonathan Parra,5,38,37,5,12,2,1,3,0,0,0,10,,.324,.324,.676,1.000,25,1,0,1,0,0,0,.375,136,179
Jordan Baker,8,78,69,19,23,4,0,5,4,0,6,17,2.83,.333,.403,.609,1.011,42,0,2,1,0,0,0,.383,144,177
Junior Valentine,5,41,37,8,13,2,0,4,0,0,4,6,1.50,.351,.415,.730,1.144,27,3,0,0,0,0,0,.333,173,213
Lance Barksdale,12,123,112,19,34,12,0,4,3,0,9,22,2.44,.304,.366,.518,.884,58,0,2,0,0,0,0,.349,114,141
Lance Barrett,8,75,67,7,19,1,0,2,2,0,6,14,2.33,.284,.360,.388,.748,26,4,2,0,0,0,0,.333,85,110
Larry Vanover,9,102,97,4,18,4,0,3,0,0,5,16,3.20,.186,.226,.320,.545,31,1,0,0,0,0,0,.192,32,52
Laz Diaz,4,41,38,5,13,2,1,1,1,0,3,11,3.67,.342,.390,.526,.917,20,0,0,0,0,0,0,.462,123,143
Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Malachi Moore,10,86,77,12,19,3,0,3,1,0,7,19,2.71,.247,.306,.403,.709,31,2,0,1,1,0,0,.286,73,102
Manny Gonzalez,7,80,71,9,21,3,0,2,1,0,9,15,1.67,.296,.375,.423,.798,30,4,0,0,0,0,0,.352,96,126
Mark Carlson,12,123,112,10,24,4,0,2,2,0,9,19,2.11,.214,.271,.304,.574,34,3,0,1,1,1,0,.239,41,72
Mark Ripperger,10,110,100,10,27,3,1,3,1,1,8,23,2.88,.270,.321,.410,.731,41,1,0,1,1,0,0,.320,78,93
Mark Wegner,16,132,112,25,32,10,1,3,0,0,11,18,1.64,.286,.382,.473,.855,53,6,7,0,1,0,0,.315,109,136
Marvin Hudson,5,41,36,8,9,2,0,1,3,0,5,12,2.40,.250,.342,.389,.730,14,0,0,0,0,0,0,.348,79,98
Mike Estabrook,6,79,71,17,24,5,2,3,0,0,4,11,2.75,.338,.392,.592,.984,42,3,3,0,1,0,1,.362,137,191
Mike Muchlinski,4,35,28,3,7,1,0,0,2,1,5,6,1.20,.250,.371,.286,.657,8,1,1,0,1,0,0,.304,66,83
Nate Tomlinson,10,109,95,12,26,2,0,3,1,0,10,15,1.50,.274,.336,.390,.726,37,3,0,1,2,2,0,.291,78,110
Nestor Ceja,7,76,70,13,22,3,1,2,0,0,5,13,2.60,.314,.360,.471,.831,33,1,0,1,0,0,0,.364,102,137
Nic Lentz,13,125,107,22,32,7,1,7,3,0,15,17,1.13,.299,.384,.579,.963,62,0,1,0,2,1,1,.294,132,161
Nick Mahrley,10,84,74,17,25,2,0,5,2,0,8,19,2.38,.338,.410,.568,.977,42,2,1,1,0,0,1,.400,137,163
Paul Clemons,5,33,32,5,10,2,0,3,2,1,1,4,4.00,.313,.333,.656,.990,21,1,0,0,0,0,0,.280,134,170
Phil Cuzzi,3,40,36,7,14,2,0,3,1,1,4,2,0.50,.389,.450,.694,1.144,25,1,0,0,0,0,0,.355,175,217
Quinn Wolcott,4,44,37,10,14,5,0,1,1,0,6,5,0.83,.378,.477,.595,1.072,22,1,1,0,0,1,0,.419,162,198
Ramon De Jesus,5,41,36,11,11,1,0,4,1,0,5,7,1.40,.306,.390,.667,1.057,24,2,0,0,0,0,0,.280,153,198
Rob Drake,10,107,98,9,23,4,0,5,4,0,7,26,3.71,.235,.293,.429,.721,42,5,1,1,0,0,0,.269,74,104
Roberto Ortiz,9,68,66,4,12,2,0,0,1,0,2,16,8.00,.182,.206,.212,.418,14,1,0,0,0,0,1,.240,4,20
Ryan Additon,4,43,39,10,13,2,1,1,0,0,0,10,,.333,.349,.513,.862,20,0,2,0,2,0,1,.400,108,137
Ryan Wills,9,88,75,14,27,4,0,2,3,0,11,11,1.00,.360,.455,.493,.948,37,3,2,0,0,0,0,.403,134,154
Scott Barry,5,40,34,2,8,0,0,0,0,1,6,5,0.83,.235,.350,.235,.585,8,0,0,0,0,0,0,.276,49,62
Sean Barber,10,91,78,26,33,11,1,4,1,0,10,11,1.10,.423,.489,.744,1.233,58,2,1,1,1,0,0,.453,197,229
Stu Scheurwater,3,36,31,1,6,1,0,0,0,0,5,7,1.40,.194,.306,.226,.531,7,0,0,0,0,1,0,.250,35,60
Todd Tichenor,4,36,34,5,12,1,0,0,1,1,2,4,2.00,.353,.389,.382,.771,13,0,0,0,0,0,0,.400,92,125
Tom Hanahan,10,93,76,14,25,6,1,1,1,0,15,21,1.40,.329,.441,.474,.915,36,1,1,0,1,1,0,.436,126,159
Tony Randazzo,9,72,61,5,14,1,0,3,1,1,10,14,1.40,.230,.338,.393,.731,24,5,0,1,0,0,0,.250,80,112
Tripp Gibson,13,121,111,20,37,6,3,6,1,0,6,20,3.33,.333,.375,.604,.979,67,3,2,1,1,0,1,.361,135,167
Vic Carapazza,11,104,92,9,19,1,0,1,4,1,9,20,2.22,.207,.282,.250,.532,23,2,1,1,1,0,1,.250,33,56
Will Little,7,75,64,17,17,3,1,5,2,1,11,14,1.27,.266,.373,.578,.951,37,4,0,0,0,1,0,.267,129,178
