Split,G,IP,ER,ERA,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Elias Díaz,67,538.1,309,5.17,2360,2109,326,594,99,14,70,44,17,206,400,1.94,0.282,0.349,0.441,0.79,931,55,20,9,16,4,7,0.317,93,105
Hunter Goodman,23,169.2,107,5.68,740,668,115,191,32,4,33,20,2,61,124,2.03,0.286,0.345,0.494,0.839,330,19,2,3,6,3,3,0.306,103,100
Drew Romo,15,115.0,72,5.63,515,461,76,134,24,1,22,16,5,43,90,2.09,0.291,0.362,0.49,0.852,226,8,9,1,1,0,2,0.32,107,100
Jacob Stallings,76,603.2,379,5.65,2707,2385,412,685,135,19,96,61,16,253,504,1.99,0.287,0.36,0.481,0.841,1146,63,35,5,27,5,13,0.325,105,100
