Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
First Pitch,162,840,802,187,290,62,7,39,44.0,9.0,0,0,,0.362,0.37,0.602,0.972,483,31,16,11,10,0,3,0.325,133,115
1-0 Count,152,381,371,83,140,27,3,26,13.0,3.0,0,0,,0.377,0.383,0.677,1.059,251,16,5,2,3,0,4,0.328,153,128
2-0 Count,107,155,152,31,51,10,0,15,4.0,0.0,0,0,,0.336,0.336,0.697,1.033,106,9,1,0,2,0,1,0.259,144,107
3-0 Count,71,107,13,5,8,1,1,2,3.0,0.0,94,0,0.0,0.615,0.953,1.308,2.261,17,0,0,0,0,11,0,0.546,449,148
0-1 Count,161,604,587,105,209,42,4,23,16.0,6.0,0,0,,0.356,0.364,0.559,0.923,328,15,10,3,4,0,3,0.328,122,118
1-1 Count,158,501,487,104,163,31,4,19,15.0,5.0,0,0,,0.335,0.338,0.532,0.87,259,20,6,1,7,0,3,0.303,109,105
2-1 Count,141,320,316,55,109,16,3,17,9.0,3.0,0,0,,0.345,0.345,0.576,0.921,182,10,1,1,2,0,4,0.306,121,104
3-1 Count,132,308,143,34,47,9,2,10,3.0,0.0,164,0,0.0,0.329,0.685,0.629,1.315,90,3,0,0,1,1,0,0.276,228,99
0-2 Count,157,533,520,68,103,19,4,9,6.0,5.0,0,224,,0.198,0.205,0.302,0.506,157,11,6,0,7,0,1,0.32,22,167
1-2 Count,162,849,833,88,175,22,3,16,7.0,5.0,0,350,,0.21,0.217,0.301,0.518,251,11,9,0,7,0,1,0.335,26,149
2-2 Count,162,845,832,86,171,24,3,23,13.0,2.0,0,321,,0.206,0.214,0.325,0.539,270,12,10,0,3,0,4,0.301,30,142
Full Count,160,879,567,83,138,27,4,22,8.0,2.0,305,223,0.73,0.243,0.507,0.422,0.928,239,7,2,0,4,0,1,0.356,133,141
After 1-0,162,2374,1949,339,574,98,15,100,,,384,347,0.9,0.295,0.414,0.514,0.928,1002,52,22,3,15,11,7,0.313,127,131
After 2-0,162,881,601,110,179,32,3,36,,,271,97,0.36,0.298,0.516,0.541,1.057,325,17,4,1,4,11,3,0.303,161,121
After 3-0,130,278,102,16,32,7,1,5,,,176,20,0.11,0.314,0.748,0.549,1.297,56,1,0,0,0,11,0,0.351,229,116
After 0-1,162,3093,2857,389,735,129,16,81,,,179,769,4.3,0.257,0.305,0.399,0.704,1139,62,28,4,25,1,14,0.322,71,134
After 1-1,162,2347,2061,292,543,93,15,70,,,245,529,2.16,0.264,0.345,0.425,0.77,876,41,20,1,19,1,8,0.319,88,133
After 2-1,162,1332,1044,162,296,52,8,46,,,273,244,0.89,0.284,0.433,0.481,0.914,502,23,7,1,7,1,4,0.329,125,135
After 3-1,158,584,317,58,87,17,2,16,,,264,68,0.26,0.274,0.601,0.492,1.093,156,3,0,0,3,1,0,0.301,175,117
After 0-2,162,1256,1188,140,240,34,6,26,,,47,490,10.43,0.202,0.237,0.306,0.544,364,25,11,0,10,0,3,0.314,32,142
After 1-2,162,1689,1549,168,318,40,7,38,,,114,628,5.51,0.205,0.265,0.314,0.579,486,19,15,0,10,0,5,0.314,42,134
After 2-2,162,1442,1219,143,267,43,7,38,,,205,475,2.32,0.219,0.336,0.359,0.695,438,19,12,0,5,0,5,0.322,72,140
Zero Balls,162,1977,1909,360,602,123,15,71,66.0,20.0,0,224,,0.315,0.323,0.507,0.83,968,57,32,14,21,0,7,0.325,100,130
Zero Strikes,162,1483,1338,306,489,100,11,82,64.0,12.0,94,0,0.0,0.366,0.412,0.641,1.052,857,56,22,13,15,11,8,0.32,153,117
Three Balls,162,1294,723,122,193,37,7,34,14.0,2.0,563,223,0.4,0.267,0.586,0.479,1.065,346,10,2,0,5,12,1,0.338,168,133
Two Strikes,162,3106,2752,325,587,92,14,70,34.0,14.0,305,1118,3.67,0.213,0.296,0.333,0.629,917,41,27,0,21,0,7,0.326,55,147
Batter Ahead,162,2150,1562,291,493,90,13,92,40.0,8.0,563,223,0.4,0.316,0.496,0.567,1.063,885,45,9,3,12,12,10,0.319,161,123
Even Count,162,2186,2121,377,624,117,14,81,72.0,16.0,0,321,,0.294,0.302,0.477,0.779,1012,63,32,12,20,0,10,0.312,87,124
Pitcher Ahead,162,1986,1940,261,487,83,11,48,29.0,16.0,0,574,,0.251,0.258,0.379,0.638,736,37,25,3,18,0,5,0.329,54,146
