Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Pitch 1-25,162,3295,2900,474,829,152,13,112,7,8,316,606,1.92,0.286,0.361,0.463,0.824,1343,81,39,10,29,10,9,0.324,101,135
Pitch 26-50,162,1424,1273,238,377,68,15,56,3,5,119,252,2.12,0.296,0.359,0.505,0.865,643,27,14,5,13,1,4,0.328,109,140
Pitch 51-75,159,1045,943,136,261,50,5,36,2,5,84,170,2.02,0.277,0.339,0.455,0.794,429,25,8,3,6,1,6,0.303,93,117
Pitch 76-100,130,532,484,66,131,19,5,16,1,3,41,88,2.15,0.271,0.333,0.43,0.763,208,12,5,0,2,0,5,0.301,86,110
Pitch 101+,6,9,6,0,1,0,0,0,0,0,3,0,0.0,0.167,0.444,0.167,0.611,1,0,0,0,0,0,0,0.167,61,91
